Location,ID
"M2L, Ontario, Canada",9000912
"M2N, Ontario, Canada",9000914
"M2P, Ontario, Canada",9000915
"M2R, Ontario, Canada",9000916
"M3B, Ontario, Canada",9000918
"M3C, Ontario, Canada",9000919
"M3H, Ontario, Canada",9000920
"M3J, Ontario, Canada",9000921
"M3K, Ontario, Canada",9000922
"M3L, Ontario, Canada",9000923
"M3M, Ontario, Canada",9000924
"M3N, Ontario, Canada",9000925
"M4G, Ontario, Canada",9000930
"M4H, Ontario, Canada",9000931
"M4J, Ontario, Canada",9000932
"M4K, Ontario, Canada",9000933
"M4N, Ontario, Canada",9000936
"M4P, Ontario, Canada",9000937
"M4R, Ontario, Canada",9000938
"M4S, Ontario, Canada",9000939
"M4T, Ontario, Canada",9000940
"M4V, Ontario, Canada",9000941
"M4W, Ontario, Canada",9000942
"M4X, Ontario, Canada",9000943
"M4Y, Ontario, Canada",9000944
"M5A, Ontario, Canada",9000945
"M5J, Ontario, Canada",9000951
"M5M, Ontario, Canada",9000954
"M5N, Ontario, Canada",9000955
"M5P, Ontario, Canada",9000956
"M5R, Ontario, Canada",9000957
"M5S, Ontario, Canada",9000958
"M5T, Ontario, Canada",9000959
"M5V, Ontario, Canada",9000960
"M6A, Ontario, Canada",9000963
"M6B, Ontario, Canada",9000964
"M6C, Ontario, Canada",9000965
"M6E, Ontario, Canada",9000966
"M6G, Ontario, Canada",9000967
"M6H, Ontario, Canada",9000968
"M6J, Ontario, Canada",9000969
"M6K, Ontario, Canada",9000970
"M6L, Ontario, Canada",9000971
"M6M, Ontario, Canada",9000972
"M6N, Ontario, Canada",9000973
"M6P, Ontario, Canada",9000974
"M6R, Ontario, Canada",9000975
"M6S, Ontario, Canada",9000976
"M8V, Ontario, Canada",9000979
"M8X, Ontario, Canada",9000981
"M8Y, Ontario, Canada",9000982
"M8Z, Ontario, Canada",9000983
"M9A, Ontario, Canada",9000984
"M9B, Ontario, Canada",9000985
"M9M, Ontario, Canada",9000988
"M9N, Ontario, Canada",9000989
"M9P, Ontario, Canada",9000990
"M9R, Ontario, Canada",9000991
"M9W, Ontario, Canada",9000993
Macao,2446
Madagascar,2450
"Maine, United States",21154
Malawi,2454
Malaysia,2458
Maldives,2462
Mali,2466
Malta,2470
"Manitoba, Canada",20115
"Marion County, Texas, United States",9059560
"Markham, Ontario, Canada",1002334
Marshall Islands,2584
"Martin County, North Carolina, United States",9058842
Martinique,2474
"Maryland, United States",21153
"Massachusetts, United States",21152
Mauritania,2478
Mauritius,2480
Mexico,2484
"Miami-Dade County, Florida, United States",9057286
"Michigan, United States",21155
"Midhurst, Ontario, Canada",1002343
"Milton, Ontario, Canada",9198780
"Minnesota, United States",21156
"Mississauga, Ontario, Canada",1002350
"Mississippi, United States",21158
"Missouri, United States",21157
Moldova,2498
Mongolia,2496
"Montana, United States",21159
Montenegro,2499
"Montgomery County, North Carolina, United States",9058846
Morocco,2504
"Morris County, Texas, United States",9059577
Mozambique,2508
Namibia,2516
"Navarro County, Texas, United States",9059580
"Nebraska, United States",21162
Nepal,2524
Netherlands,2528
"Nevada, United States",21166
"New Brunswick, Canada",20116
"New Hampshire, United States",21163
"New Hanover County, North Carolina, United States",9058849
"New Jersey, United States",21164
"New Mexico, United States",21165
"New Tecumseth, Ontario, Canada",9047907
"New York, United States",21167
New Zealand,2554
"Newfoundland and Labrador, Canada",20117
Nicaragua,2558
Niger,2562
Nigeria,2566
"North Carolina, United States",21160
"North Dakota, United States",21161
North Macedonia,2807
"Northampton County, North Carolina, United States",9058850
"Northwest Territories, Canada",20119
Norway,2578
"Nova Scotia, Canada",20118
"Nunavut, Canada",20120
"Oak Bay, British Columbia, Canada",9105114
"Oakville, Ontario, Canada",1002371
"Ohio, United States",21168
"Okanagan-Similkameen, British Columbia, Canada",9104472
"Okeechobee County, Florida, United States",9057290
"Oklahoma, United States",21169
Oman,2512
"Onslow County, North Carolina, United States",1021253
"Oregon, United States",21170
"Oshawa, Ontario, Canada",1002375
"Ottawa County, Ohio, United States",9058995
"Ottawa, Ontario, Canada",1002376
"Paget Parish, Bermuda",9070171
Pakistan,2586
Palestine,2275
"Palm Beach County, Florida, United States",9057293
"Pamlico County, North Carolina, United States",9058852
Panama,2591
Papua New Guinea,2598
Paraguay,2600
"Parker County, Texas, United States",1026679
"Pasquotank County, North Carolina, United States",1021258
"Pender County, North Carolina, United States",9058853
"Pennsylvania, United States",21171
"Perquimans County, North Carolina, United States",9058854
Peru,2604
"Philadelphia, Pennsylvania, United States",1025197
Philippines,2608
"Pickering, Ontario, Canada",1002385
"Pitt County, North Carolina, United States",9058856
Poland,2616
Portugal,2620
"Prince Edward Island, Canada",20122
Puerto Rico,2630
"Putnam County, Ohio, United States",9059002
Qatar,2634
"Quebec, Canada",20123
"Quesnel, British Columbia, Canada",1001947
"Rains County, Texas, United States",9059593
"Randolph County, North Carolina, United States",9058858
"Red River County, Texas, United States",9059597
Reunion,2638
"Rhode Island, United States",21172
"Richmond Hill, Ontario, Canada",1002405
"Richmond, British Columbia, Canada",1001949
"Robeson County, North Carolina, United States",9058860
"Rockingham County, North Carolina, United States",9058861
Romania,2642
Russia,2643
Rwanda,2646
"Saanich, British Columbia, Canada",9105154
Saint Kitts and Nevis,2659
Saint Lucia,2662
Saint Vincent and the Grenadines,2670
Samoa,2882
"Sampson County, North Carolina, United States",9058864
"Sandusky County, Ohio, United States",9059005
"Saskatchewan, Canada",20124
Saudi Arabia,2682
"Seneca County, Ohio, United States",9059007
Senegal,2686
Serbia,2688
Seychelles,2690
Sierra Leone,2694
Singapore,2702
Slovakia,2703
Slovenia,2705
Somalia,2706
South Africa,2710
"South Carolina, United States",21173
"South Dakota, United States",21174
South Korea,2410
Spain,2724
"Stokes County, North Carolina, United States",9058867
Suriname,2740
"Surrey, British Columbia, Canada",1001964
"Surry County, North Carolina, United States",9058868
Sweden,2752
Switzerland,2756
Taiwan,2158
Tajikistan,2762
Tanzania,2834
"Tennessee, United States",21175
"Texas, United States",21176
Thailand,2764
"The Bronx, New York, United States",1022759
Timor-Leste,2626
"Titus County, Texas, United States",9059628
Togo,2768
"Toronto, Ontario, Canada",1002451
Trinidad and Tobago,2780
Tunisia,2788
Turkiye,2792
Turkmenistan,2795
Turks and Caicos Islands,2796
"Tyrrell County, North Carolina, United States",9058871
U.S. Virgin Islands,2850
Uganda,2800
Ukraine,2804
United Arab Emirates,2784
United Kingdom,2826
"Upshur County, Texas, United States",9059632
Uruguay,2858
"Utah, United States",21177
Uzbekistan,2860
"V0A, British Columbia, Canada",9001434
"V0B, British Columbia, Canada",9001435
"V0C, British Columbia, Canada",9001436
"V0E, British Columbia, Canada",9001437
"V0G, British Columbia, Canada",9001438
"V0J, British Columbia, Canada",9001440
"V0K, British Columbia, Canada",9001441
"V0L, British Columbia, Canada",9001442
"V0N, British Columbia, Canada",9001444
"V0T, British Columbia, Canada",9001448
"V1C, British Columbia, Canada",9001454
"V1N, British Columbia, Canada",9001462
"V1R, British Columbia, Canada",9001464
"V1S, British Columbia, Canada",9001465
"V1X, British Columbia, Canada",9001469
"V1Y, British Columbia, Canada",9001470
"V2B, British Columbia, Canada",9001473
"V2C, British Columbia, Canada",9001474
"V2J, British Columbia, Canada",9001478
"V8G, British Columbia, Canada",9001589
"V8V, British Columbia, Canada",9001599
"V8Z, British Columbia, Canada",9001603
"Van Zandt County, Texas, United States",9059636
"Vancouver, British Columbia, Canada",1001970
Vanuatu,2548
"Vaughan, Ontario, Canada",1002459
Venezuela,2862
"Vermont, United States",21179
"Victoria, British Columbia, Canada",1001973
Vietnam,2704
"Virginia, United States",21178
"Wasaga Beach, Ontario, Canada",9220171
"Washington County, North Carolina, United States",9058876
"Washington, District of Columbia, United States",1014895
"Washington, United States",21180
"Washoe County, Nevada, United States",9058666
"West Virginia, United States",21183
Western Sahara,2732
"Whitby, Ontario, Canada",1002470
"Wilkes County, North Carolina, United States",9058879
"Williams County, Ohio, United States",9059018
"Wisconsin, United States",21182
"Wise County, Texas, United States",9059651
"Wood County, Ohio, United States",9059019
"Wood County, Texas, United States",9059652
"Wyoming, United States",21184
"Yadkin County, North Carolina, United States",9058881
Yemen,2887
"Yukon, Canada",20125
Zambia,2894
Zimbabwe,2716
